ActualElapsedTime,Origin,Distance,Cancelled
103,CLE,Short,0
67,PHX,Short,0
113,DFW,Medium,0
113,ORF,Medium,0
57,PHX,Short,0
70,ONT,Short,0
167,ORD,Medium,0
135,PBI,Medium,0
83,COS,Short,0
88,PNS,Short,0
78,PHX,Short,0
170,MIA,Long,0
94,DCA,Short,0
59,SJC,Short,0
172,DFW,Long,0
135,TPA,Medium,0
62,ATL,Short,0
117,DTW,Short,0
64,PIT,Short,0
80,LAX,Short,0
56,LAS,Short,0
70,GSO,Short,0
64,HLN,Short,0
51,SEA,Short,0
53,MCO,Short,0
228,ATL,Long,0
70,DFW,Short,0
176,DCA,Long,0
173,ISP,Medium,0
85,RDU,Short,0
74,ROA,Short,0
133,DEN,Medium,0
25,SRQ,Short,0
122,BWI,Medium,0
93,OKC,Short,0
79,CRW,Short,0
124,LGA,Medium,0
49,MEM,Short,0
NA,SFO,Short,0
122,DFW,Medium,0
71,PIT,Short,0
31,TUL,Medium,0
297,CLE,ExtraLong,0
116,IAH,Medium,0
89,ATL,Medium,0
79,MCI,Short,0
100,DFW,Short,0
72,OAK,Short,0
34,BWI,Short,0
141,ONT,Medium,0
62,LGA,Short,0
59,BOS,Short,0
161,SJC,Medium,0
144,ATL,Medium,0
268,IND,Long,0
45,DTW,Short,0
27,CHS,Short,0
87,DCA,Short,0
159,EWR,Medium,0
126,RDU,Medium,0
84,DEN,Short,0
26,SHV,Short,0
36,SYR,Short,0
145,SEA,Medium,0
326,JFK,ExtraLong,0
65,IAD,Short,0
82,STL,Short,0
148,ORD,Long,0
61,EWR,Short,0
72,DFW,Short,0
86,SNA,Short,0
150,SRQ,Long,0
83,DEN,Short,0
56,BOS,Short,0
57,GEG,Short,0
72,OAK,Short,0
NA,ATL,Medium,1
93,SFO,Short,0
77,ORD,Short,0
74,ATL,Short,0
135,ORD,Medium,0
24,BHM,Short,0
41,IAD,Short,0
73,MRY,Short,0
58,HOU,Short,0
27,SAT,Short,0
NA,DEN,Medium,1
95,DEN,Medium,0
168,JFK,Long,0
188,PHX,Long,0
75,OAK,Short,0
69,ATL,Short,0
90,CLE,Medium,0
119,CVG,Medium,0
177,IAD,Long,0
140,SLC,Medium,0
75,SLC,Short,0
94,ORD,Short,0
174,SLC,Medium,0
89,SFO,Short,0
81,MOB,Short,0
42,GTF,Short,0
158,MIA,Long,0
92,ATL,Medium,0
73,SAN,Short,0
98,CVG,Medium,0
57,ATL,Short,0
35,CLT,Short,0
95,ICT,Medium,0
319,LAX,ExtraLong,0
50,LEX,Short,0
54,EWR,Short,0
256,ORD,Long,0
98,PHX,Medium,0
80,SFO,Short,0
155,DEN,Medium,0
90,BWI,Medium,0
56,STL,Short,0
60,BWI,Short,0
