ActualElapsedTime,Origin,Dest,Distance,Cancelled
53,ATL,JAX,270,0
NA,SFO,PDX,550,1
NA,DFW,MSY,448,0
145,ORD,MCO,1005,0
114,STL,DCA,719,0
137,ORD,BOS,867,0
33,SRQ,RSW,77,0
93,PDX,OAK,543,0
73,MSY,IAH,305,0
94,SRQ,ATL,445,0
58,DCA,GSO,248,0
45,MYR,ORF,270,0
85,PIT,ORF,330,0
148,STL,MIA,1068,0
135,LAS,DFW,1055,0
31,SAV,CHS,86,0
99,BOS,BWI,370,0
143,SFO,DEN,967,0
96,MSY,BNA,471,0
163,FLL,EWR,1065,0
196,DEN,IAD,1452,0
58,DCA,LGA,214,0
86,TYS,ORD,475,0
63,LAX,SCK,315,0
65,JAX,ATL,270,0
75,PIT,TYS,382,0
138,SYR,STL,803,0
191,DEN,PHL,1557,0
253,ORD,SFO,1846,0
136,ORD,EWR,719,0
157,LAX,MCI,1363,0
111,BNA,DFW,631,0
101,ORD,ORF,717,0
60,SAN,PHX,304,0
66,IAH,DFW,224,0
62,LGA,ORF,296,0
152,LAS,AUS,1090,0
166,MCO,DFW,984,0
62,FAI,ANC,261,0
120,DFW,DEN,641,0
42,LAS,PSP,173,0
59,RDU,DCA,227,0
94,CHS,BWI,472,0
84,CLE,LGA,418,0
35,ATL,CHA,106,0
22,MIA,FLL,21,0
74,BOS,PHL,280,0
65,ISP,BWI,220,0
71,JAX,MIA,334,0
76,ORD,MSP,334,0
141,DFW,PHX,868,0
132,STL,BDL,957,0
53,MIA,TPA,204,0
121,IAD,MEM,742,0
102,DFW,ICT,328,0
47,MCO,PBI,142,0
203,ORD,PHX,1440,0
262,SJU,JFK,1597,0
150,IND,DEN,977,0
68,MSY,IAH,305,0
148,MSY,IAD,954,0
105,DAY,STL,338,0
NA,DTW,SFO,2079,0
155,LGA,MEM,963,0
70,ONT,SFO,363,0
79,GSO,ATL,306,0
61,CLE,SYR,317,0
237,EWR,SJU,1608,0
92,CLT,PIT,366,0
203,PHX,ORD,1440,0
149,DTW,MCO,957,0
127,LAX,DEN,862,0
76,HOU,MEM,484,0
119,PIT,MCI,773,0
