ActualElapsedTime,Origin,Dest,Distance,Cancelled
56,BUF,IAD,284,0
123,BDL,ORD,783,0
58,BUF,PHL,279,0
103,MCI,DEN,533,0
93,EWR,CMH,462,0
40,BTR,MOB,174,0
79,STL,LIT,296,0
139,PHL,STL,813,0
75,SJC,LAX,308,0
82,SMF,LAX,373,0
107,MLB,RDU,547,0
49,LAS,BUR,223,0
50,HOU,DAL,239,0
NA,PDX,SFO,550,1
98,SFO,SEA,679,0
NA,GEG,PDX,279,1
89,TPA,ATL,406,0
106,BDL,CVG,661,0
64,PIT,GRR,319,0
56,SJC,RNO,188,0
95,ATL,DTW,594,0
62,LAX,LAS,236,0
80,DEN,OKC,495,0
182,DFW,SAN,1171,0
NA,LAS,HOU,1235,0
141,MIA,BWI,946,0
146,STL,MIA,1068,0
121,DEN,SAT,794,0
41,ATL,CAE,191,0
56,HRL,HOU,276,0
70,RIC,EWR,278,0
48,SAT,HOU,192,0
89,ATL,MIA,595,0
226,DFW,OAK,1456,0
176,LAS,STL,1372,0
102,TUL,ABQ,608,0
62,LAX,SFO,337,0
116,CLE,MEM,622,0
64,SJC,LAX,308,0
66,RNO,SFO,192,0
55,TVL,SJC,149,0
88,PIT,ATL,526,0
51,AZO,DAY,176,0
299,CLT,LAX,2125,0
53,EWR,BOS,200,0
123,STL,BWI,737,0
33,CLT,CAE,88,0
258,BOS,DFW,1562,0
103,ATL,CLE,554,0
274,HNL,LAX,2556,0
103,STL,OKC,462,0
128,PHX,SFO,651,0
41,MEM,BNA,200,0
29,EUG,PDX,106,0
66,ATL,JAX,270,0
103,ELP,DEN,563,0
210,SEA,ORD,1721,0
56,MSP,MKE,297,0
79,DEN,OKC,495,0
136,DEN,ORD,888,0
83,HOU,BHM,570,0
73,CRW,LGA,444,0
160,PHL,MIA,1013,0
23,FLL,MIA,21,0
204,DEN,PIT,1290,0
43,CRW,CVG,173,0
193,LAS,ORD,1515,0
87,ORD,STL,258,0
115,RNO,DEN,804,0
100,TUL,DEN,541,0
104,ORD,BDL,783,0
30,COS,DEN,72,0
118,STL,BWI,737,0
71,SYR,BWI,273,0
77,LAX,SMF,373,0
120,DEN,ORD,888,0
320,SFO,HNL,2398,0
115,BHM,DFW,597,0
149,FLL,DAY,982,0
226,LAX,ORD,1745,0
115,PDX,SJC,569,0
81,CLT,DAB,416,0
118,BNA,DFW,631,0
75,SMF,LAX,373,0
81,CLE,ORD,316,0
69,ORD,CAK,344,0
45,FAY,CLT,118,0
56,SYR,LGA,198,0
61,LAS,PHX,256,0
175,PHL,MIA,1013,0
216,JFK,SJU,1597,0
64,PNS,TPA,330,0
93,SAN,SLC,626,0
139,MCO,LGA,950,0
55,EWR,DCA,199,0
76,GSO,LGA,461,0
118,BZN,MSP,874,0
92,ATL,ORF,516,0
61,PIT,ALB,367,0
31,TOL,DAY,119,0
81,CLE,EWR,404,0
89,SAN,OAK,446,0
59,PHL,BOS,280,0
133,STL,DEN,770,0
44,GRR,ORD,137,0
57,SEA,PDX,129,0
83,ATL,MLB,443,0
75,RAP,SLC,508,0
81,PVD,DCA,357,0
64,MSY,HOU,303,0
243,LGA,HOU,1428,0
86,BWI,CLT,361,0
66,ORD,DTW,235,0
50,GRR,ORD,137,0
72,MOT,MSP,449,0
115,STL,IAD,696,0
200,PIT,DEN,1290,0
152,EWR,MSP,1008,0
66,ORD,DSM,299,0
95,SFO,PDX,550,0
76,CLE,LGA,418,0
77,IAD,BOS,413,0
126,DFW,ORD,802,0
75,SJC,SNA,342,0
45,MEM,BNA,200,0
99,ATL,ORD,606,0
94,DEN,DSM,589,0
65,LEX,CLT,282,0
72,SFO,LAX,337,0
72,MEM,HSV,184,0
82,DAY,EWR,533,0
72,ORD,CAK,344,0
122,TPA,DAY,828,0
46,CLE,PIT,105,0
31,BUF,SYR,134,0
73,LAX,SJC,308,0
71,BNA,MEM,200,0
131,MEM,FLL,851,0
NA,DFW,DCA,1192,1
53,SNA,LAS,226,0
149,TPA,DFW,929,0
56,DFW,SAT,247,0
112,ORD,EWR,719,0
158,PHX,MEM,1263,0
115,DEN,PHX,602,0
96,ORD,MEM,491,0
19,OAK,SFO,11,0
273,CVG,SFO,2036,0
84,LAX,SMF,373,0
313,JFK,SLC,1989,0
152,FLL,BDL,1173,0
54,AUS,MAF,294,0
122,OMA,DFW,583,0
50,TPA,MIA,204,0
35,GTF,BIL,177,0
173,DEN,BUR,850,0
202,MSP,PDX,1426,0
252,JFK,STT,1623,0
53,SFO,RNO,192,0
111,STL,MSY,604,0
85,OAK,LAS,407,0
NA,PHL,SRQ,956,0
107,ICT,ORD,588,0
83,SNA,OAK,371,0
281,ORD,SFO,1846,0
125,PBI,PIT,952,0
81,TPA,GSO,580,0
87,OMA,MEM,538,0
201,LAX,HOU,1390,0
71,PIT,ORF,330,0
48,DAY,LAN,200,0
63,SJC,LAX,308,0
69,LAX,OAK,337,0
109,PIT,STL,553,0
33,SRQ,RSW,77,0
72,LGA,BOS,185,0
47,SBN,DTW,157,0
NA,SFO,BUR,326,1
106,PHX,DEN,602,0
72,ISP,PIT,375,0
35,SMF,OAK,75,0
NA,DAY,CMI,216,1
96,ABQ,DFW,569,0
107,DEN,ORD,888,0
125,BWI,MCO,787,0
83,LAX,SJC,308,0
68,SDF,PIT,335,0
71,MEM,DFW,432,0
46,CVG,IND,98,0
40,TUS,PHX,110,0
75,PHX,LAX,370,0
128,BOS,CLT,728,0
36,BNA,BHM,177,0
60,DTW,ORD,235,0
87,ONT,SFO,363,0
76,OMA,ORD,416,0
52,MGM,BTR,306,0
68,MEM,SHV,285,0
37,ATL,CHA,106,0
299,JFK,PHX,2153,0
68,EWR,DCA,199,0
142,IAH,DEN,861,0
92,MSP,STL,449,0
280,HNL,SFO,2398,0
67,TUS,ABQ,321,0
159,JFK,ORD,740,0
71,DCA,SYR,298,0
63,DTW,BUF,240,0
